RetailCatLinkSid,DataextrctSid,RetailDeptNm,RetailCatNm,RetailSegmentNm,RetailSubSegmentNm,CatProfileNm,ChangeInd,JobExecSid
466,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","64 OUNCES OR LESS",COCONUT,SEGMENT/BRAND,"I  ",8315
108,7,DAIRY/PERISHABLE,"MACROBIOTIC FOODS/TOFU/MISO",SEITAN,,SEGMENT/BRAND,"I  ",8315
76,7,GROCERY,"VEGETABLES: CANNED, GLASS",,,BRAND/SEGMENT,"I  ",8315
587,7,GROCERY,"BAKING & CAKE DECORATING","MIXES:BREAD, MUFFIN, SCONE, BISCUIT",BISCUIT,SEGMENT/BRAND,"I  ",8315
539,7,GROCERY,"BABY FOOD",BOX,"STAGE 2",SEGMENT/BRAND,"I  ",8315
802,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",BOUILLON,BASE,SEGMENT/BRAND,"I  ",8315
876,7,"GROCERY/NON FOOD","TRASH, FOOD STORAGE & WRAPS",WRAPS,FOIL,SEGMENT/BRAND,"I  ",8315
417,7,"GROCERY/NON FOOD","PET FOOD & TREATS","SMALL ANIMAL- NON DOG OR CAT",,SEGMENT/BRAND,"I  ",8315
419,7,"GROCERY/NON FOOD","PET SUPPLIES & SUPPLEMENTS","BEDS & POSTS",,BRAND/SEGMENT,"I  ",8315
588,7,GROCERY,"BAKING & CAKE DECORATING","MIXES:BREAD, MUFFIN, SCONE, BISCUIT",BREAD,SEGMENT/BRAND,"I  ",8315
596,7,GROCERY,"BATTERS & COATINGS",BREADCRUMBS,PANKO,SEGMENT/BRAND,"I  ",8315
409,7,"GROCERY/NON FOOD","BATTERIES, LIGHT BULBS, BBQ SUPPLIES","LIGHT BULBS-LED",,SEGMENT/BRAND,"I  ",8315
619,7,GROCERY,"BEVERAGES: WATER, SPARKLING, & STILL","FUNCTIONALLY ENHANCED","MULTI SERVE: NON SPARKLING",SEGMENT/BRAND,"I  ",8315
478,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","CULTURED BEVERAGE","M/S YOGURT DRINK",SEGMENT/BRAND,"I  ",8315
463,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","32 OUNCES OR LESS",RICE,SEGMENT/BRAND,"I  ",8315
554,7,GROCERY,"BABY FOOD",POUCH,TODDLER,SEGMENT/BRAND,"I  ",8315
20,7,FROZEN,ENTREES,,,BRAND/SEGMENT,"I  ",8315
716,7,GROCERY,"DIPS & SALSAS",RTU-DIPS,QUESO,SEGMENT/BRAND,"I  ",8315
545,7,GROCERY,"BABY FOOD",CUP,TODDLER,SEGMENT/BRAND,"I  ",8315
190,7,GROCERY,"BABY FOOD","BEVERAGES-NON FORMULA",,SEGMENT/BRAND,"I  ",8315
474,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","SINGLE SERVE - 20 OUNCES OR LESS",SOY,SEGMENT/BRAND,"I  ",8315
508,7,FROZEN,"ICE CREAM, GELATO, NOVELTIES, SORBET, NONDAIRY","NON DAIRY",NOVELTIES,BRAND/SEGMENT,"I  ",8315
503,7,FROZEN,"ICE CREAM, GELATO, NOVELTIES, SORBET, NONDAIRY",DAIRY/FRUIT,"HALF GALLON STYLE",BRAND/SEGMENT,"I  ",8315
688,7,GROCERY,"CEREALS: HOT",OATMEAL,QUICK/ROLLED,BRAND/SEGMENT,"I  ",8315
