BrandSid,DataextrctSid,BrandLongNm,BrandShortNm,ParentBrandLongNm,ParentBrandShortNm,ChangeInd,JobExecSid
5603,13,"PEDIA SMART",PEDIASMART,,,"I  ",8330
7828,13,WESTBY,WESTBY,,,"I  ",8330
1689,13,"COUNTRY LIFE",CNTRYLIFE,,,"I  ",8330
3544,13,"INKA COFFEE SUB",INKA,,,"I  ",8330
4606,13,METABOLIFE,METABOLIFE,,,"I  ",8330
4482,13,MARTINI'S,MARTINI,,,"I  ",8330
1443,13,"CHINO VALLEY RANCHERS",CHINOVAL,,,"I  ",8330
4808,13,"MR. SPRINKLES",MRSPRINKLE,,,"I  ",8330
5908,13,"PURE & BASIC",PURE&BASIC,,,"I  ",8330
1626,13,CONNOISSEURS,CONNOISEUR,,,"I  ",8330
6846,13,STARLETTA,STARLETTA,,,"I  ",8330
4299,13,LUCOZADE,LUCOZADE,,,"I  ",8330
5828,13,"PREMIER LABS",PREMIERLAB,,,"I  ",8330
2646,13,FRESHPET,FRESHPET,,,"I  ",8330
3462,13,HUGGIES,HUGGIES,,,"I  ",8330
7174,13,"TERA'S WHEY",TERAWHEY,,,"I  ",8330
5115,13,NEXCARE,NEXCARE,,,"I  ",8330
3727,13,JOVIAL,JOVIAL,,,"I  ",8330
812,13,BIO2YOU,BIO2YOU,,,"I  ",8330
3624,13,"JALAPENO DELITE",JALAPENO,,,"I  ",8330
7601,13,VBITES,VBITES,,,"I  ",8330
4646,13,"MIGHTY LEAF TEA",MIGHTYLEAF,,,"I  ",8330
362,13,"ARCHIE MOORE'S",ARCHIEMOOR,,,"I  ",8330
4726,13,"MOM'S BEST NATURALS",MOMSBEST,,,"I  ",8330
7622,13,VENUS,VENUS,,,"I  ",8330
322,13,ANSWER,ANSWER,,,"I  ",8330
7908,13,"WILLARD WATER",WILLARD,,,"I  ",8330
4276,13,"LOVE GROWN FOODS",LOVEGROWN,,,"I  ",8330
1241,13,"CAPTAIN TOADYS",CAPNTOADY,,,"I  ",8330
6032,13,"READY SET CUPCAKE",READYSET,,,"I  ",8330
6215,13,"ROSE'S NOODLES",ROSENOODLE,,,"I  ",8330
3565,13,"INTERNATIONAL DELIGHT",INTLDLIGHT,,,"I  ",8330
4604,13,MESTEMACHER,MESTEMACHR,,,"I  ",8330
6135,13,RICOLA,RICOLA,,,"I  ",8330
7071,13,T42,T42,,,"I  ",8330
6337,13,SANPER,SANPER,,,"I  ",8330
7212,13,"THAI TASTE",THAITASTE,,,"I  ",8330
6480,13,"SHAVE DELUXE",SHAVEDELUX,,,"I  ",8330
